1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
392	-0.642199	47.238935	3.499607	0.011430	8.8
393	-0.613089	48.233436	3.449337	0.006451	9.3
394	-0.634421	47.369646	3.492917	0.008042	9.9
395	-0.624767	48.287980	3.446622	0.007040	9.2
396	-0.622813	49.253462	3.399256	0.009701	9.1
397	-0.621140	49.362639	3.393981	0.009204	9.2
398	-0.626780	48.449662	3.438598	0.008985	9.3
399	-0.636255	47.537635	3.484355	0.007833	9.1
400	-0.613399	48.537631	3.434248	0.010342	9.1
401	-0.625969	49.460981	3.389244	0.004613	9.0
402	-0.636114	49.894537	3.368517	0.009630	10.2
403	-0.619056	50.481254	3.340869	0.007818	9.8
404	-0.619666	49.574088	3.383813	0.012495	8.8
405	-0.624522	48.661111	3.428161	0.005787	9.4
406	-0.642014	49.660757	3.379662	0.010894	9.6
407	-0.628954	48.750159	3.423784	0.006234	10.2
408	-0.622530	49.750151	3.375392	0.010249	9.2
409	-0.609371	48.921283	3.415405	0.007605	9.0
410	-0.620896	49.919638	3.367325	0.008743	9.0
411	-0.622403	50.919349	3.320518	0.009233	9.7
412	-0.631127	50.006734	3.363195	0.008368	9.5
413	-0.630503	51.006691	3.316490	0.009486	9.3
414	-0.633523	52.006676	3.271064	0.008916	9.0
415	-0.612207	52.512847	3.248541	0.009976	9.4
416	-0.628269	53.512842	3.204944	0.012746	9.6
417	-0.621074	54.507373	3.162731	0.007807	9.2
418	-0.624202	55.507372	3.121392	0.008252	9.2
419	-0.620586	56.500946	3.081375	0.007191	9.2
420	-0.611408	56.575523	3.078413	0.009401	9.5
421	-0.619015	57.555453	3.040012	0.009302	9.4
422	-0.624730	58.551950	3.001931	0.005909	9.0
423	-0.627672	58.934398	2.987568	0.009610	9.5
424	-0.635111	58.073884	3.020080	0.008305	9.4
425	-0.621037	59.073884	2.982364	0.010947	9.1
426	-0.628090	59.600077	2.962894	0.013503	10.1
427	-0.630117	60.599977	2.926588	0.009163	9.4
428	-0.620660	61.599303	2.891180	0.007642	9.6
429	-0.616590	62.595573	2.856724	0.004947	9.9
430	-0.633438	63.393203	2.829724	0.010218	9.5
